iter	Passed	Remaining
0	235	35096
1	362	26849
2	490	24013
3	605	22085
4	711	20619
5	815	19564
6	929	18979
7	1032	18320
8	1134	17774
9	1249	17489
10	1395	17631
11	1523	17517
12	1646	17352
13	1767	17171
14	1892	17036
15	2010	16839
16	2147	16799
17	2278	16709
18	2398	16540
19	2509	16314
20	2603	15991
21	2709	15765
22	2801	15470
23	2893	15188
24	2997	14986
25	3113	14848
26	3213	14638
27	3334	14527
28	3449	14394
29	3560	14240
30	3671	14095
31	3800	14014
32	3898	13820
33	4035	13769
34	4146	13624
35	4263	13502
36	4373	13358
37	4467	13166
38	4569	13006
39	4680	12870
40	4767	12674
41	4854	12484
42	4954	12329
43	5058	12186
44	5172	12069
45	5284	11946
46	5396	11826
47	5524	11739
48	5619	11583
49	5745	11490
50	5851	11358
51	5972	11256
52	6097	11158
53	6206	11034
54	6296	10876
55	6434	10800
56	6546	10680
57	6647	10544
58	6758	10424
59	6856	10284
60	6955	10147
61	7061	10023
62	7186	9924
63	7313	9827
64	7426	9711
65	7547	9606
66	7650	9478
67	7765	9363
68	7882	9253
69	7978	9117
70	8078	8989
71	8192	8874
72	8283	8737
73	8389	8615
74	8491	8491
75	8589	8363
76	8705	8253
77	8808	8130
78	8925	8021
79	9045	7915
80	9181	7821
81	9289	7703
82	9404	7591
83	9520	7480
84	9638	7370
85	9747	7254
86	9861	7141
87	9982	7032
88	10101	6923
89	10198	6799
90	10288	6670
91	10378	6542
92	10471	6417
93	10580	6303
94	10664	6174
95	10759	6052
96	10859	5933
97	10993	5833
98	11102	5719
99	11229	5614
100	11345	5504
101	11453	5389
102	11553	5272
103	11683	5167
104	11794	5054
105	11905	4941
106	12017	4829
107	12147	4723
108	12255	4609
109	12352	4491
110	12462	4378
111	12570	4264
112	12663	4146
113	12772	4033
114	12883	3920
115	13004	3811
116	13140	3706
117	13280	3601
118	13423	3496
119	13533	3383
120	13661	3274
121	13775	3161
122	13877	3046
123	13990	2933
124	14119	2823
125	14236	2711
126	14336	2596
127	14444	2482
128	14539	2366
129	14661	2255
130	14788	2144
131	14905	2032
132	15007	1918
133	15126	1806
134	15277	1697
135	15417	1587
136	15532	1473
137	15674	1363
138	15842	1253
139	15956	1139
140	16045	1024
141	16156	910
142	16288	797
143	16410	683
144	16509	569
145	16602	454
146	16699	340
147	16800	227
148	16897	113
149	16984	0
